Date,Open,High,Low,Close,Volume,Adj Close
2016-10-27,5272.189941,5274.120117,5211.75,5215.970215,1918690000,5215.970215
2016-10-26,5256.399902,5280.850098,5237.049805,5250.27002,1725900000,5250.27002
2016-10-25,5306.470215,5310.27002,5278.569824,5283.399902,1579490000,5283.399902
2016-10-24,5290.310059,5311.50,5289.22998,5309.830078,1531970000,5309.830078
2016-10-21,5238.649902,5259.129883,5225.759766,5257.399902,1649470000,5257.399902
2016-10-20,5238.200195,5252.100098,5216.049805,5241.830078,1741820000,5241.830078
2016-10-19,5240.330078,5253.830078,5234.25,5246.410156,1546960000,5246.410156
2016-10-18,5255.319824,5264.27002,5239.439941,5243.839844,1474430000,5243.839844
2016-10-17,5213.689941,5219.97998,5196.029785,5199.819824,1424270000,5199.819824
2016-10-14,5241.259766,5258.879883,5213.370117,5214.160156,1594480000,5214.160156
2016-10-13,5200.299805,5228.259766,5169.759766,5213.330078,1735310000,5213.330078
2016-10-12,5247.910156,5257.180176,5228.77002,5239.02002,1565940000,5239.02002
2016-10-11,5321.819824,5321.819824,5227.430176,5246.790039,1821680000,5246.790039
2016-10-10,5318.459961,5340.52002,5317.72998,5328.669922,1364150000,5328.669922
2016-10-07,5314.919922,5315.649902,5266.799805,5292.399902,1646650000,5292.399902
2016-10-06,5306.589844,5315.72998,5281.470215,5306.850098,1654020000,5306.850098
2016-10-05,5305.279785,5330.810059,5304.060059,5316.02002,1753340000,5316.02002
2016-10-04,5313.490234,5323.600098,5271.700195,5289.660156,1708990000,5289.660156
2016-10-03,5300.290039,5308.600098,5281.950195,5300.870117,1604060000,5300.870117
2016-09-30,5288.870117,5325.879883,5277.879883,5312.00,2059800000,5312.00
2016-09-29,5311.310059,5317.00,5254.52002,5269.149902,1941170000,5269.149902
2016-09-28,5312.72998,5320.620117,5284.839844,5318.549805,1785470000,5318.549805
